ID,Parent SKU,SKU,Description,Regular price,Brand,Cat,Color,Prime style,Pocket shape,Collection name,Consignment,Placket Shape,Placket Type,Sleeves type,Collar type,Size,Generation
,#p30211#,215253027602266,شماغ - فيرزاتشي - احمر غامق - رجالي - 55,349,Versace,Headgear>Alshiaka>Shumagh,Red,English Shumagh,NA,Continues,Non Consignment,NA,NA,NA,NA,60,Men
,#p30211#,215253038582267,شماغ - فيرزاتشي - احمر غامق - رجالي - 58,349,Versace,Headgear>Alshiaka>Shumagh,Dark Red,English Shumagh,NA,Continues,Non Consignment,NA,NA,NA,NA,55,Men
,#p30211#,215253038592267,شماغ - فيرزاتشي - احمر غامق - رجالي - 60,349,Versace,Headgear>Alshiaka>Shumagh,Dark Red,English Shumagh,NA,Continues,Non Consignment,NA,NA,NA,NA,58,Men
,#p30211#,215253038602267,شماغ - فيرزاتشي - ابيض - رجالي - 55,349,Versace,Headgear>Alshiaka>Shumagh,Dark Red,English Shumagh,NA,Continues,Non Consignment,NA,NA,NA,NA,60,Men
,#p30211#,215253001582268,شماغ - فيرزاتشي - ابيض - رجالي - 58,349,Versace,Headgear>Alshiaka>Shumagh,White,English Shumagh,NA,Continues,Non Consignment,NA,NA,NA,NA,55,Men
,#p30211#,215253001592268,شماغ - فيرزاتشي - ابيض - رجالي - 60,349,Versace,Headgear>Alshiaka>Shumagh,White,English Shumagh,NA,Continues,Non Consignment,NA,NA,NA,NA,58,Men
,#p30211#,215253001602268,شماغ - الشياكة - رجالي - 42,25,Versace,Headgear>Alshiaka>Shumagh,White,English Shumagh,NA,Continues,Non Consignment,NA,NA,NA,NA,60,Men
,#p30211#,8040340301421,شماغ - عادي - ولادي - احمر فاتح - 40,85,Alshiaka,Headgear>Alshiaka>Shumagh,Cream,Chinese Shumagh Cream,NA,Seasonal,Non Consignment,NA,NA,NA,NA,42,Men
,#p30211#,215112837532112,شماغ - عادي - ولادي - ابيض - 40,85,Alshiaka,Headgear>Alshiaka>Shumagh,Light Red,Chinese Shumagh Light Red,NA,Seasonal,Non Consignment,NA,NA,NA,NA,40,Boys
,#p30211#,215112601532113,شماغ - عادي - ولادي - احمر غامق - 40,85,Alshiaka,Headgear>Alshiaka>Shumagh,White,Chinese Shumagh White,NA,Seasonal,Non Consignment,NA,NA,NA,NA,40,Boys
,#p30211#,215112938532113,شماغ - الشياكة - رجالي - 62,30,Alshiaka,Headgear>Alshiaka>Shumagh,Dark Red,Chinese Shumagh Dark Red,NA,Seasonal,Non Consignment,NA,NA,NA,NA,40,Boys
,#p30211#,359101223,شماغ - الشياكة - رجالي- 44,25,Alshiaka,Headgear>Alshiaka>Shumagh,White,Chinese Shumagh White,NA,Seasonal,Non Consignment,NA,NA,NA,NA,62,Men
